City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2020-01-14 04:47:21,55.74,-97.86,-7.6,76,75,6.93
1,Hilo,US,2020-01-14 04:47:21,19.73,-155.09,75.99,86,78,11.01
2,Shingu,JP,2020-01-14 04:47:22,33.73,135.98,55.4,43,40,5.82
3,Vila Velha,BR,2020-01-14 04:46:50,-20.33,-40.29,78.8,88,75,11.41
4,Avarua,CK,2020-01-14 04:47:22,-21.21,-159.78,80.6,78,76,13.87
5,Guerrero Negro,MX,2020-01-14 04:47:22,27.98,-114.06,57.52,87,34,7.7
6,Fairbanks,US,2020-01-14 04:35:02,64.84,-147.72,0.0,77,90,1.39
7,Carnarvon,AU,2020-01-14 04:37:23,-24.87,113.63,79.84,77,91,17.58
8,Castro,BR,2020-01-14 04:47:23,-24.79,-50.01,57.96,85,96,4.34
9,Sao Jose Da Coroa Grande,BR,2020-01-14 04:38:15,-8.9,-35.15,80.46,71,28,8.55
10,Nizhniy Baskunchak,RU,2020-01-14 04:47:23,48.22,46.83,33.78,84,100,14.85
11,Ancud,CL,2020-01-14 04:45:52,-41.87,-73.82,53.6,93,75,6.93
12,Boskoop,NL,2020-01-14 04:47:23,52.08,4.66,50.0,87,90,24.16
13,Juneau,US,2020-01-14 04:42:39,58.3,-134.42,17.01,36,1,16.11
14,Skjervoy,NO,2020-01-14 04:47:23,70.03,20.97,35.15,71,95,2.28
15,Bluff,NZ,2020-01-14 04:45:11,-46.6,168.33,57.11,63,70,8.21
16,Ponta Do Sol,PT,2020-01-14 04:37:27,32.67,-17.1,62.6,77,75,8.05
17,Sao Joao Da Barra,BR,2020-01-14 04:45:58,-21.64,-41.05,75.11,90,100,9.64
18,Rikitea,PF,2020-01-14 04:47:24,-23.12,-134.97,78.17,82,2,10.83
19,Atar,MR,2020-01-14 04:47:25,20.52,-13.05,51.39,33,0,9.53
20,Qaanaaq,GL,2020-01-14 04:47:25,77.48,-69.36,-7.49,44,5,5.06
21,Lavrentiya,RU,2020-01-14 04:47:25,65.58,-171.0,0.81,73,0,10.63
22,Bandarbeyla,SO,2020-01-14 04:38:20,9.49,50.81,76.1,69,22,21.18
23,Lata,PT,2020-01-14 04:37:36,40.16,-8.33,52.0,87,75,8.05
24,Narsaq,GL,2020-01-14 04:37:51,60.92,-46.05,10.4,55,84,5.82
25,Nizwa,OM,2020-01-14 04:47:26,22.93,57.53,55.4,42,3,3.4
26,Tecoanapa,MX,2020-01-14 04:47:26,16.52,-98.75,74.03,88,0,2.3
